movie_id,title,tags
19995,Avatar,avatar action adventur fantasi scienc fiction cultur clash futur space war space coloni societi space travel futurist romanc space alien tribe alien planet cgi marin soldier battl love affair anti war power relat mind and soul 3d sam worthington zoe saldana sigourney weaver stephen lang jame cameron 22nd centuri parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect alien civil
285,Pirates of the Caribbean: At World's End,pirat caribbean world end adventur fantasi action ocean drug abus exot island east india trade compani love of one life traitor shipwreck strong woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnni depp orlando bloom keira knightley stellan skarsgård gore verbinski captain barbossa long believ dead come back life head edg earth turner elizabeth swann noth quit seem
206647,Spectre,spectr action adventur crime spi base on novel secret agent sequel mi6 british secret servic unit kingdom daniel craig christoph waltz léa seydoux ralph fienn sam mend cryptic messag bond past send trail uncov sinist organ battl polit forc keep secret servic aliv bond peel back layer deceit reveal terribl truth behind spectr
49026,The Dark Knight Rises,dark knight rise action crime drama thriller dc comic crime fighter terrorist secret ident burglar hostag drama time bomb gotham citi vigilant cover-up superhero villai tragic hero terror destruct catwoman cat burglar imax flood crimin underworld batman christian bale michael cain gari oldman ann hathaway christoph nolan follow death district attorney harvey dent batman assum respons dent crime protect late attorney reput subsequ hunt gotham citi polic depart eight year later batman encount mysteri selina kyle villain bane new terrorist leader overwhelm gotham finest dark knight resurfac protect citi brand enemi
49529,John Carter,john carter action adventur scienc fiction base on novel mar medallion space travel princess alien steampunk martian escap edgar rice burrough alien race superhuman strength mar civil sword and planet 19th centuri 3d taylor kitsch lynn collin samantha morton willem dafo andrew stanton john carter war weari former militari captain inexplic transport mysteri exot planet barsoom mar reluct becom embroil epic conflict world brink collaps carter rediscov human realiz surviv barsoom peopl rest hand
559,Spider-Man 3,spider man 3 fantasi action adventur dual ident amnesia sandstorm love of one life forgiv spider wretch death of a friend egomania sand narcism hostil marvel comic sequel superhero reveng tobey maguir kirsten dunst jame franco thoma haden church sam raimi seem invinc spider man goe new crop villain includ shape shift sandman spider man superpow alter alien organ alter ego peter parker deal nemesi eddi brock also get caught love triangl
38757,Tangled,tangl anim famili hostag magic hors fairi tale music princess anim tower blond woman selfish heal power base on fairi tale duringcreditssting heal gift anim sidekick zachari levi mandi moor donna murphi ron perlman byron howard nathan greno kingdom want charm bandit flynn rider hide mysteri tower taken hostag rapunzel beauti feisti tower bound teen 70 feet magic golden hair flynn curious captor look ticket tower lock away year strike deal handsom thief unlik duo set action pack escapad complet super cop hors protect chameleon gruff gang pub thug
99861,Avengers: Age of Ultron,aveng age ultron action adventur scienc fiction marvel comic sequel superhero base on comic book vision superhero team duringcreditssting marvel cinemat univers 3d robert downey jr. chris hemsworth mark ruffalo chris evan joss whedon toni stark tri jumpstart dormant peacekeep program thing go awri earth mightiest hero put ultim test fate planet hang balanc villain ultron emerg aveng stop enact terribl plan soon uneasi allianc unexpect action pave way epic uniqu global adventur
767,Harry Potter and the Half-Blood Prince,harri potter half blood princ adventur fantasi famili witch magic broom school of witchcraft wizardri apparit teenag crush werewolf daniel radcliff rupert grint emma watson tom felton david yate harri begin sixth year hogwart discov old book mark properti half blood princ begin learn lord voldemort dark past
209112,Batman v Superman: Dawn of Justice,batman v superman dawn justic action adventur fantasi dc comic vigilant superhero base on comic book reveng super power clark kent bruce wayn dc extend univers ben affleck henri cavil gal gadot ami adam zack snyder fear action god like super hero left uncheck gotham citi formid forc vigilant take metropoli rever modern day savior world wrestl sort hero realli need batman superman war one anoth new threat quick aris put mankind greater danger ever known
1452,Superman Returns,superman return adventur fantasi action scienc fiction save the world dc comic invulner sequel superhero base on comic book kryptonit super power superhuman strength lex luthor brandon routh kevin spacey kate bosworth jame marsden bryan singer superman return discov 5 year absenc allow lex luthor walk free closest felt abandon move luthor plot ultim reveng could see million kill chang face planet forev well rid man steel
10764,Quantum of Solace,quantum solac adventur action thriller crime kill undercov secret agent british secret servic daniel craig olga kurylenko mathieu amalr judi dench marc forster quantum solac continu adventur jame bond casino royal betray vesper woman love 007 fight urg make latest mission person pursu determin uncov truth bond interrog mr white reveal organ blackmail vesper far complex danger anyon imagin
